Date,AAPL,AMZN,DIS,GOOG,META,MSFT,NVDA,SPY,TSLA
2015-01-02,24.43526840209961,15.425999641418457,87.09242248535156,26.16865348815918,78.36685180664062,40.37806701660156,4.832578182220459,174.265380859375,14.620667457580566
2015-01-05,23.74688720703125,15.10949993133545,85.8197021484375,25.623151779174805,77.10819244384766,40.00676727294922,4.7509565353393555,171.11814880371094,14.005999565124512
2015-01-06,23.749122619628906,14.76449966430664,85.36449432373047,25.029281616210938,76.06929016113281,39.41957473754883,4.6069135665893555,169.50640869140625,14.085332870483398
2015-01-07,24.082138061523438,14.920999526977539,86.23776245117188,24.986400604248047,76.06929016113281,39.9203987121582,4.594910144805908,171.61868286132812,14.063332557678223
2015-01-08,25.007427215576172,15.02299976348877,87.12957763671875,25.065183639526367,78.09713745117188,41.09478759765625,4.76776123046875,174.66404724121094,14.041333198547363
2015-01-09,25.03424644470215,14.846500396728516,87.5569076538086,24.740575790405273,77.65760040283203,40.74937057495117,4.786966800689697,173.264404296875,13.77733325958252
2015-01-12,24.417387008666992,14.570500373840332,87.75199127197266,24.560070037841797,76.63868713378906,40.239906311035156,4.726949691772461,171.9070587158203,13.480667114257812
2015-01-13,24.634187698364258,14.737000465393066,88.43016052246094,24.741073608398438,76.36896514892578,40.032676696777344,4.719744682312012,171.42356872558594,13.616666793823242
2015-01-14,24.540311813354492,14.66349983215332,87.53832244873047,24.974931716918945,76.19915008544922,39.68724822998047,4.738951206207275,170.3885955810547,12.845999717712402
2015-01-15,23.87428092956543,14.34749984741211,87.6498031616211,25.02080535888672,73.97151947021484,39.27276611328125,4.7053422927856445,168.82777404785156,12.791333198547363
2015-01-16,23.688779830932617,14.536999702453613,88.42084503173828,25.334444046020508,75.1003189086914,39.929046630859375,4.7917680740356445,171.04180908203125,12.871333122253418
2015-01-20,24.29893684387207,14.472000122070312,88.01210021972656,25.275606155395508,76.15919494628906,40.05855941772461,4.8061723709106445,171.4065399169922,12.795332908630371
2015-01-21,24.48443603515625,14.862500190734863,87.48258972167969,25.83108139038086,76.65866088867188,39.652706146240234,4.873390197753906,172.27183532714844,13.104666709899902
2015-01-22,25.121414184570312,15.515999794006348,88.39299011230469,26.64634132385254,77.56770324707031,40.697566986083984,4.957414627075195,174.83367919921875,13.441332817077637
2015-01-23,25.25104331970215,15.619500160217285,87.9935302734375,26.923580169677734,77.74751281738281,40.74074935913086,4.971818923950195,173.87515258789062,13.419333457946777
2015-01-26,25.277864456176758,15.482999801635742,88.22578430175781,26.68722915649414,77.41786193847656,40.59394454956055,4.950211048126221,174.28228759765625,13.770000457763672
2015-01-27,24.392799377441406,15.337499618530273,87.29679870605469,25.86050033569336,75.6996841430664,36.837650299072266,4.712543964385986,171.9833984375,13.732000350952148
2015-01-28,25.771800994873047,15.195500373840332,86.08909606933594,25.4301815032959,76.15919494628906,35.56828308105469,4.6357221603393555,169.77784729003906,13.291333198547363
2015-01-29,26.57417106628418,15.58899974822998,86.60005187988281,25.463090896606445,77.91732788085938,36.27634811401367,4.748553276062012,171.34719848632812,13.680000305175781
2015-01-30,26.18527603149414,17.726499557495117,84.50054168701172,26.65282440185547,75.82954406738281,34.8860969543457,4.60931396484375,169.19253540039062,13.573332786560059
2015-02-02,26.513816833496094,18.223499298095703,85.40166473388672,26.351652145385742,74.91051483154297,35.64599609375,4.710144519805908,171.28782653808594,14.062666893005371
2015-02-03,26.518293380737305,18.177499771118164,87.41756439208984,26.38954734802246,75.32008361816406,35.922325134277344,4.827778339385986,173.7648468017578,14.557332992553711
2015-02-04,26.7216796875,18.237499237060547,94.08767700195312,26.066434860229492,75.54983520507812,36.12956619262695,4.839779853820801,173.10316467285156,14.569999694824219
2015-02-05,26.912399291992188,18.694499969482422,95.3510971069336,26.306774139404297,75.52986145019531,36.65630340576172,4.919003009796143,174.8506622314453,14.732666969299316
2015-02-06,26.685775756835938,18.714000701904297,94.77513122558594,26.477306365966797,74.39106750488281,36.62177658081055,4.897396564483643,174.36712646484375,14.490667343139648
2015-02-09,26.863037109375,18.527999877929688,94.50572967529297,26.31924057006836,74.3611068725586,36.57859802246094,4.892594814300537,173.5867156982422,14.498666763305664
2015-02-10,27.379117965698242,18.649999618530273,94.68222045898438,26.77349281311035,75.11030578613281,36.785831451416016,5.029435634613037,175.43597412109375,14.419333457946777
2015-02-11,28.020849227905273,18.756999969482422,94.63578033447266,26.725126266479492,76.42890930175781,36.59587097167969,4.995823860168457,175.53778076171875,14.186667442321777
2015-02-12,28.375370025634766,18.85849952697754,96.22434997558594,27.072172164916992,76.14920806884766,37.20896530151367,5.3535261154174805,177.2259063720703,13.525333404541016
2015-02-13,28.514495849609375,19.09149932861328,96.7724380493164,27.375341415405273,75.65972137451172,37.88250732421875,5.355926036834717,177.95538330078125,13.584667205810547
2015-02-17,28.682783126831055,18.771499633789062,96.72599792480469,27.067686080932617,75.5198745727539,37.899898529052734,5.372732162475586,178.2353515625,13.623332977294922
2015-02-18,28.88247299194336,18.668500900268555,96.48446655273438,26.911115646362305,76.62869262695312,37.856407165527344,5.3103156089782715,178.25233459472656,13.630666732788086
2015-02-19,28.821889877319336,18.950000762939453,96.5123291015625,27.069181442260742,79.33582305908203,37.830326080322266,5.324717998504639,178.1250457763672,14.11400032043457
2015-02-20,29.05748748779297,19.183000564575195,97.12547302246094,26.87371826171875,79.81531524658203,38.143409729003906,5.363130569458008,179.19395446777344,14.473999977111816
