Date,ADA-USD,BCH-USD,BNB-USD,BTC-USD,DOT-USD,ETH-USD,LINK-USD,LTC-USD,SOL-USD,XRP-USD
2015-01-01,,,,314.2489929199219,,,,2.699049949645996,,
2015-01-02,,,,315.0320129394531,,,,2.6673600673675537,,
2015-01-03,,,,281.0820007324219,,,,2.13316011428833,,
2015-01-04,,,,264.19500732421875,,,,1.9566800594329834,,
2015-01-05,,,,274.4739990234375,,,,2.0821800231933594,,
2015-01-06,,,,286.1889953613281,,,,2.1121199131011963,,
2015-01-07,,,,294.3370056152344,,,,2.1181800365448,,
2015-01-08,,,,283.3489990234375,,,,2.0080699920654297,,
2015-01-09,,,,290.4079895019531,,,,1.9833600521087646,,
2015-01-10,,,,274.7959899902344,,,,1.6533199548721313,,
2015-01-11,,,,265.6600036621094,,,,1.724560022354126,,
2015-01-12,,,,267.7959899902344,,,,1.714229941368103,,
2015-01-13,,,,225.86099243164062,,,,1.5411200523376465,,
2015-01-14,,,,178.10299682617188,,,,1.1570099592208862,,
2015-01-15,,,,209.843994140625,,,,1.282770037651062,,
2015-01-16,,,,208.0970001220703,,,,1.402269959449768,,
2015-01-17,,,,199.25999450683594,,,,1.2934099435806274,,
2015-01-18,,,,210.33900451660156,,,,1.3333300352096558,,
2015-01-19,,,,214.86099243164062,,,,1.3417799472808838,,
2015-01-20,,,,211.31500244140625,,,,1.3235499858856201,,
2015-01-21,,,,226.89700317382812,,,,1.3733099699020386,,
2015-01-22,,,,233.406005859375,,,,1.4187500476837158,,
2015-01-23,,,,232.87899780273438,,,,1.425950050354004,,
2015-01-24,,,,247.8470001220703,,,,1.8437999486923218,,
2015-01-25,,,,253.71800231933594,,,,2.248300075531006,,
2015-01-26,,,,273.4729919433594,,,,2.081049919128418,,
2015-01-27,,,,263.4750061035156,,,,2.0860800743103027,,
2015-01-28,,,,233.9149932861328,,,,1.8720200061798096,,
2015-01-29,,,,233.51300048828125,,,,1.9156700372695923,,
2015-01-30,,,,226.4250030517578,,,,1.897629976272583,,
2015-01-31,,,,217.46400451660156,,,,1.8734999895095825,,
2015-02-01,,,,226.9720001220703,,,,1.8035199642181396,,
2015-02-02,,,,238.22900390625,,,,1.8761800527572632,,
2015-02-03,,,,227.26800537109375,,,,1.8217600584030151,,
2015-02-04,,,,226.85299682617188,,,,1.7923500537872314,,
2015-02-05,,,,217.11099243164062,,,,1.7412300109863281,,
2015-02-06,,,,222.26600646972656,,,,1.75941002368927,,
2015-02-07,,,,227.75399780273438,,,,1.7817200422286987,,
2015-02-08,,,,223.41200256347656,,,,1.7835899591445923,,
2015-02-09,,,,220.11000061035156,,,,1.731469988822937,,
2015-02-10,,,,219.83900451660156,,,,1.7631800174713135,,
2015-02-11,,,,219.18499755859375,,,,1.7274399995803833,,
2015-02-12,,,,221.76400756835938,,,,1.7575600147247314,,
2015-02-13,,,,235.427001953125,,,,1.821679949760437,,
2015-02-14,,,,257.3210144042969,,,,1.937690019607544,,
2015-02-15,,,,234.8249969482422,,,,1.8420000076293945,,
2015-02-16,,,,233.84300231933594,,,,1.796280026435852,,
2015-02-17,,,,243.61000061035156,,,,1.853119969367981,,
2015-02-18,,,,236.3260040283203,,,,1.828160047531128,,
2015-02-19,,,,240.2830047607422,,,,1.8467600345611572,,
2015-02-20,,,,243.7790069580078,,,,1.8479499816894531,,
2015-02-21,,,,244.53399658203125,,,,1.8489099740982056,,
2015-02-22,,,,235.9770050048828,,,,1.7962000370025635,,
2015-02-23,,,,238.89199829101562,,,,1.8204100131988525,,
2015-02-24,,,,238.73500061035156,,,,1.829319953918457,,
2015-02-25,,,,237.47000122070312,,,,1.802340030670166,,
2015-02-26,,,,236.42599487304688,,,,1.810130000114441,,
2015-02-27,,,,253.8280029296875,,,,1.8514200448989868,,
2015-02-28,,,,254.26300048828125,,,,1.8407299518585205,,
2015-03-01,,,,260.2019958496094,,,,1.891569972038269,,
2015-03-02,,,,275.6700134277344,,,,1.9361000061035156,,
2015-03-03,,,,281.7019958496094,,,,1.9559199810028076,,
2015-03-04,,,,273.0920104980469,,,,1.9305000305175781,,
2015-03-05,,,,276.1780090332031,,,,1.916409969329834,,
2015-03-06,,,,272.7229919433594,,,,1.897819995880127,,
2015-03-07,,,,276.260986328125,,,,1.9105000495910645,,
2015-03-08,,,,274.35400390625,,,,1.891860008239746,,
2015-03-09,,,,289.60699462890625,,,,1.9442800283432007,,
2015-03-10,,,,291.760009765625,,,,2.0090599060058594,,
2015-03-11,,,,296.3789978027344,,,,2.026279926300049,,
2015-03-12,,,,294.35400390625,,,,2.042789936065674,,
2015-03-13,,,,285.3370056152344,,,,2.007960081100464,,
2015-03-14,,,,281.885009765625,,,,1.9960500001907349,,
2015-03-15,,,,286.39300537109375,,,,2.0188300609588623,,
2015-03-16,,,,290.5929870605469,,,,2.0330801010131836,,
2015-03-17,,,,285.5050048828125,,,,1.9821499586105347,,
2015-03-18,,,,256.29901123046875,,,,1.7425400018692017,,
2015-03-19,,,,260.9280090332031,,,,1.7590899467468262,,
2015-03-20,,,,261.7489929199219,,,,1.7672100067138672,,
2015-03-21,,,,260.0249938964844,,,,1.746690034866333,,
2015-03-22,,,,267.9599914550781,,,,1.797719955444336,,
2015-03-23,,,,266.739990234375,,,,1.7781599760055542,,
2015-03-24,,,,245.59500122070312,,,,1.6515899896621704,,
2015-03-25,,,,246.19700622558594,,,,1.673140048980713,,
2015-03-26,,,,248.53199768066406,,,,1.6954900026321411,,
2015-03-27,,,,247.0290069580078,,,,1.6867400407791138,,
