Date,IVV,RSP,SH,SPLG,SPY,SPYG,VOO,VOOG,VOOV
2020-04-20,265.6784973144531,85.2462387084961,23.433767318725586,31.088077545166016,265.1487731933594,37.985450744628906,243.01943969726562,158.48033142089844,92.13015747070312
2020-04-21,257.58935546875,82.75634002685547,24.14586639404297,30.138887405395508,257.0979919433594,36.72439956665039,235.59347534179688,153.19345092773438,89.69168090820312
2020-04-22,263.42108154296875,84.31019592285156,23.602420806884766,30.79673957824707,262.8041687011719,37.72553253173828,240.77569580078125,157.50592041015625,91.0667495727539
2020-04-23,263.3459167480469,84.38508605957031,23.62116050720215,30.787338256835938,262.78533935546875,37.71590805053711,240.72877502441406,157.33224487304688,91.1217269897461
2020-04-24,267.032958984375,85.59257507324219,23.283849716186523,31.23843765258789,266.4482421875,38.27423858642578,244.22116088867188,159.66697692871094,92.34100341796875
2020-04-27,271.06805419921875,88.05440521240234,22.937170028686523,31.69893455505371,270.2900085449219,38.64002990722656,247.75108337402344,161.21055603027344,94.28443145751953
2020-04-28,269.6101379394531,89.27127838134766,23.04960823059082,31.548572540283203,269.047119140625,38.18760299682617,246.6056671142578,159.22314453125,94.60527801513672
2020-04-29,276.6551513671875,92.36959075927734,22.44057273864746,32.36618423461914,276.09033203125,39.39088439941406,252.9614715576172,164.37498474121094,96.51205444335938
2020-04-30,273.861572265625,89.99203491210938,22.674816131591797,32.056053161621094,273.5197448730469,39.313880920410156,250.7552490234375,164.0662384033203,94.5594482421875
2020-05-01,266.6849365234375,86.74393463134766,23.265111923217773,31.21024513244629,266.27874755859375,38.29349136352539,243.92071533203125,159.7344970703125,91.92847442626953
2020-05-04,267.71954345703125,86.8094482421875,23.171411514282227,31.32301902770996,267.0132141113281,38.563026428222656,244.69056701660156,161.0079345703125,91.81846618652344
2020-05-05,270.0804443359375,87.20259094238281,22.984018325805664,31.595552444458008,269.48016357421875,39.00584411621094,246.94369506835938,162.8506622314453,92.30431365966797
2020-05-06,268.302734375,85.94828796386719,23.133934020996094,31.370014190673828,267.6535339355469,39.025081634521484,245.28195190429688,162.74452209472656,90.81006622314453
2020-05-07,271.4819030761719,87.4927749633789,22.84347152709961,31.745922088623047,270.88311767578125,39.54491424560547,248.18284606933594,164.91522216796875,91.7451400756836
2020-05-08,276.0248718261719,89.8890609741211,22.45931053161621,32.28159713745117,275.36529541015625,40.064727783203125,252.3324432373047,167.0859375,93.73439025878906
2020-05-11,276.01556396484375,88.82195281982422,22.45931053161621,32.3004035949707,275.42181396484375,40.276512145996094,252.3699951171875,168.01210021972656,93.046875
2020-05-12,270.3908386230469,86.50057220458984,22.909061431884766,31.642545700073242,269.9321594238281,39.458274841308594,247.29104614257812,164.52931213378906,91.15843200683594
2020-05-13,265.75372314453125,83.96383666992188,23.30259132385254,31.088077545166016,265.1582336425781,38.9288330078125,242.90676879882812,162.37791442871094,89.15998840332031
2020-05-14,268.9329833984375,85.26495361328125,23.02149772644043,31.463985443115234,268.3314514160156,39.313880920410156,245.8358612060547,163.96975708007812,90.3150405883789
2020-05-15,270.0992736816406,85.42411041259766,22.937170028686523,31.57676124572754,269.56494140625,39.573787689208984,246.94369506835938,165.1177978515625,90.46170806884766
2020-05-18,278.4516906738281,90.09500122070312,22.225069046020508,32.563533782958984,277.7758483886719,40.536415100097656,254.4916229248047,169.20838928222656,94.08275604248047
2020-05-19,275.5828857421875,88.85003662109375,22.45931053161621,32.23461151123047,274.9227600097656,40.29576873779297,252.08831787109375,168.10853576660156,92.579345703125
2020-05-20,280.2857971191406,90.46940612792969,22.065780639648438,32.77028274536133,279.5931396484375,41.075496673583984,256.2003173828125,171.32118225097656,93.9819107055664
2020-05-21,278.2353210449219,90.06690979003906,22.234439849853516,32.535335540771484,277.6628112792969,40.7000617980957,254.3602294921875,169.9223175048828,93.40438079833984
